Instrument,SEC_CODE
LP65092859,ES-GLOBALENERGY
LP65092861,KF-BIC
LP65092864,Q-PORT
LP65092885,UOBSGC
LP65092888,I-20
LP65092889,BIC
LP65092891,ASP-BRIC
LP65092893,KFCASHPLUS
LP65092894,1AM-DAILY-RA
LP65092944,SCBAEM
LP65105294,KWI MONEY
LP65105296,1GLOBALBOND
LP65105329,QHOP
LP65105335,KKP GHC
LP65105370,ABGEM
LP65109296,UOBSC
LP65109333,1US-OPP
LP65109382,K-AGRI
LP65109446,MNRF
LP65109467,UOBSAS100D
LP65109468,LUXF
LP65125351,K-GOLD-A(D)
LP65125419,PRINCIPAL EPIF
LP65125429,1AM-TG
LP65125457,KKP MP
LP65125484,KTFIX3M1
LP65125500,CTARAF
LP65125507,KTSIV3M1
LP65125517,KTSIV6M1
LP65125541,MMGOVMF
LP65125544,KTFIX3M2
LP65125560,KTSIV3M2
LP65125572,KTSIV6M2
LP65125591,MNIT2
LP65125595,KTFIX3M3
LP65125603,KTSIV3M3
LP65125615,HIDIV-D
LP65150750,IGOLD-G
LP65150759,KF-GOLD
LP65150769,TISCOOIL
LP65150814,I-OIL
LP65150863,TGOLD
LP65150868,SCBAUD
LP65150872,KF-OIL
LP65150878,KTSV
LP65150922,ASP-OIL
LP65150924,PRINCIPAL TREASURY
LP65150939,TISCOAP
LP68014500,ASP-GOLD
LP68014502,KT-ENERGY
LP68016351,SCBTMF
LP68016359,ASP-S&P500
LP68016363,GC
LP68016367,M-STOR
LP68016392,K-OIL
LP68016393,SSPF
LP68016409,TISCOUS-A
LP68016414,KWI EQ DIV
LP68016461,ABCG
LP68028465,M-PROPERTY
LP68028476,K-PLAN1
LP68028477,K-PLAN2
LP68028478,K-PLAN3
LP68028485,PGOLD
LP68028490,KT-FINANCE-A
LP68028500,K-CHINA-A(D)
LP68028524,ES-MAP
LP68028544,ONE-PROP
LP68028545,I-10
LP68028557,SCBCE
LP68028606,PRINCIPAL SET50-A
LP68028618,KF-CHINA
LP68028636,ASP-HSI
LP68028653,KF-LATAM
LP68039817,TW-E20
LP68039853,M-ACTIVE
LP68043360,ONE-EC14-RD
LP68043366,TISCOLAF
LP68043385,KT-OIL
LP68046960,BGOLD
LP68046965,ES-OIL
LP68046975,KT-MINING
LP68051084,IREITG
LP68054238,ES-GF-A
LP68054302,TTLPF
LP68058683,UOBSG-N
LP68058687,KT-GOLD
LP68058710,K-GEMO
LP68058718,UOBSDF
LP68059740,UOBSG-D
LP68063935,KFTRB-A
LP68063947,TISCOCH
LP68063958,SCBFP
LP68063969,PRINCIPAL VF-A
LP68063981,PRINCIPAL CII
LP68064001,KT-PRECIOUS
LP68078189,UOBSCI-N
LP68078255,UOBID
LP68078259,ES-GOLDS
LP68078728,UOBSCI-D
LP68085513,BFIXED
LP68085514,TNPF
LP68085525,ES-GOLDBULLION-H
LP68085526,ES-GOLDBULLION-UH
LP68085569,ABIG
LP68085588,FCF
LP68085592,I-Emerging 10S2
LP68085593,POPF
LP68085659,ES-GLOBALEQ
LP68085681,KTEF
