Fund Company
Krungsri Asset Management Co Ltd
UOB Asset Management Thailand Co Ltd
TISCO Asset Management Co Ltd
Krung Thai Asset Management PCL
MFC Asset Management PCL
Asset Plus Fund Management Co Ltd
One Asset Management Ltd
Eastspring Asset Management (Thailand) Co Ltd
Kasikorn Asset Management Co Ltd
SCB Asset Management Co Ltd
Principal Asset Management Co Ltd
KWI Asset Management Co Ltd
Land and Houses Fund Management Co Ltd
